,Not provided in KoNLPy,,Provided in KoNLPy,,,,,,,,,,,,,,,,,,,
SS,"따옴표,괄호표,줄표",,,,,SS,"따옴표,괄호표,줄표",SSO,"여는 괄호 (, [",,SS,SS,"따옴표,괄호표,줄표",,,,,,,SL,여는 따옴표 및 묶음표,
,,,,,,,,SSC,"닫는 괄호 ), ]",,,,,,,,,,,SR,닫는 따옴표 및 묶음표,
SP,"쉼표,가운뎃점,콜론,빗금",,,,,SP,"쉼표,가운뎃점,콜론,빗금",SC,"구분자 , · / :",,SP,SP,"쉼표,가운뎃점,콜론,빗금",,,,,,,SP,쉼표,
SO,"붙임표(물결,숨김,빠짐)",,,,,SO,"붙임표(물결,숨김,빠짐)",SY,기타 기호,,SO,SO,"붙임표(물결,숨김,빠짐)",,,,,,,SY,기타기호,
SW,"기타기호 (논리수학기호,화폐기호)",,,Foreign,"외국어, 한자 및 기타기호",SW,"기타기호 (논리수학기호,화폐기호)",,,,SW,SW,"기타기호 (논리수학기호,화폐기호)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SU,단위 기호,
,,,,,,,,,,,,,,,,,,,,SD,이음표,
SH,한자,,,,,SH,한자,SH,한자,,OH,OH,한자,,,,,,,,,
SL,외국어,,,,,SL,외국어,SL,외국어,O,OL,OL,외국어,F,외국어,F,외국어,F,외국어,F,외국어,
,,,,Alpha,알파벳,,,,,,,,,,,,,,,,,
SN,숫자,,,Number,숫자,SN,숫자,SN,숫자,,ON,ON,숫자,,,,,,,,,
NF,명사추정범주,NR,미등록어,Unknown,미등록어,NF,명사추정범주,,,U,UN,UN,명사추정범주,,,,,,,,,
NV,용언추정범주,,,,,NV,용언추정범주,,,,,,,,,,,,,,,
NA,분석불능범주,,,,,NA,분석불능범주,,,,,,,,,,,,,,,
,,,,KoreanParticle,(ex: ㅋㅋ),,,,,,,,,,,,,,,,,
,,,,Hashtag,트위터 해쉬태그 (ex: #히히),,,,,,,,,,,,,,,,,
,,,,ScreenName,트위터 아이디 (ex: @echojuliett),,,,,,,,,,,,,,,,,
,,,,Email,이메일 주소,,,,,,,,,,,,,,,,,
,,,,URL,웹주소,,,,,,,,,,,,,,,,,
